"Server","Admin"
"ZPWSHRDSQL04C","NotAdministrator"
"ZPWSHRDSQL04C","Domain Admins"
"ZPWSHRDSQL04C","SRVALL_PROD_LOCALADMIN"
"ZPWSHRDSQL04C","SRVDB_PROD_LOCALADMIN"
"ZPWSHRDSQL04C","SHRD_PRD_SQL02"
"ZPWSHRDSQL05C","NotAdministrator"
"ZPWSHRDSQL05C","Domain Admins"
"ZPWSHRDSQL05C","SRVALL_PROD_LOCALADMIN"
"ZPWSHRDSQL05C","SRVDB_PROD_LOCALADMIN"
"ZPWSHRDSQL05C","MJahesh"
"ZPWSHRDSQL05C","SHRD_PRD_SQL02"
"ZPWSHRDSQL05C","BCMI_CTM_TEMP"
"ZPWSHRDIMQ01C","NotAdministrator"
"ZPWSHRDIMQ01C","SRVALL_PROD_LOCALADMIN"
"ZPWSHRDIMQ01C","SRVIMQ_PROD_LOCALADMIN"
"ZPWSHRDIMQ01C","Domain Admins"
"ZPWSHRDIMQ01C","gpujara"
"ZPWSHRDIMQ03C","NotAdministrator"
"ZPWSHRDIMQ03C","Domain Admins"
"ZPWSHRDIMQ03C","SRVALL_PROD_LOCALADMIN"
"ZPWSHRDIMQ03C","SRVIMQ_PROD_LOCALADMIN"
"ZPWBCMIUTL01C","NotAdministrator"
"ZPWBCMIUTL01C","Domain Admins"
"ZPWBCMIUTL01C","SRVALL_PROD_LOCALADMIN"
"ZPWBCMIUTL01C","SRVUTL_PROD_LOCALADMIN"
"ZPWBCMIUTL01C","SRVUTL_BCMI_PROD_LOCALADMIN"
"ZPWBCMIUTL01C","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZPWBCMIUTL01C","CBaddam1"
"ZPWBCMIUTL01C","SRVUTL_ZPWBCMIUTL01C_LOCALADMIN"
"ZPWBCMIUTL01C","ADMSTerry"
"ZPWBCMIUTL01C","ADMJBrady"
"ZPWBCMIUTL01C","S-1-5-21-1715567821-436374069-1957994488-49543"
"ZPWBCMIUTL01C","VKota"
"ZPWBCMICES01C","NotAdministrator"
"ZPWBCMICES01C","Domain Admins"
"ZPWBCMICES01C","SRVALL_PROD_LOCALADMIN"
"ZPWBCMICES01C","SRVCES_PROD_LOCALADMIN"
"ZPWBCMICES01C","SRVDB_PROD_LOCALADMIN"
"ZPWBCMICEQ01C","NotAdministrator"
"ZPWBCMICEQ01C","Domain Admins"
"ZPWBCMICEQ01C","SRVALL_PROD_LOCALADMIN"
"ZPWBCMICEQ01C","SRVCES_PROD_LOCALADMIN"
"ZPWBCMICEQ01C","SRVDB_PROD_LOCALADMIN"
"ZPWBCMIWEB01C00","NotAdministrator"
"ZPWBCMIWEB01C00","Domain Admins"
"ZPWBCMIWEB01C00","SRVALL_PROD_LOCALADMIN"
"ZPWBCMIWEB01C00","SRVWEB_PROD_LOCALADMIN"
"ZPWBCMIWEB01C00","BCMI_PRD_APP"
"ZPWBCMIWEB01C00","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZPWBCMIWEB01C00","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZPWBCMIWEB01C00","SRVWEB_ZPWBCMIWEB01C00_LOCALADMIN"
"ZPWBCMIWEB01C01","NotAdministrator"
"ZPWBCMIWEB01C01","Domain Admins"
"ZPWBCMIWEB01C01","SRVALL_PROD_LOCALADMIN"
"ZPWBCMIWEB01C01","SRVWEB_PROD_LOCALADMIN"
"ZPWBCMIWEB01C01","BCMI_PRD_APP"
"ZPWBCMIWEB01C01","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZPWBCMIWEB01C01","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZPWBCMIWEB01C01","SRVWEB_ZPWBCMIWEB01C01_LOCALADMIN"
"ZPWBCMIWEB01C02","NotAdministrator"
"ZPWBCMIWEB01C02","Domain Admins"
"ZPWBCMIWEB01C02","SRVALL_PROD_LOCALADMIN"
"ZPWBCMIWEB01C02","SRVWEB_PROD_LOCALADMIN"
"ZPWBCMIWEB01C02","BCMI_PRD_APP"
"ZPWBCMIWEB01C02","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZPWBCMIWEB01C02","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZPWBCMIWEB01C02","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZPWBCMIHSS01C	","NotAdministrator"
"ZPWBCMIHSS01C	","Domain Admins"
"ZPWBCMIHSS01C	","SRVALL_PROD_LOCALADMIN"
"ZPWBCMIHSS01C	","SRVWEB_PROD_LOCALADMIN"
"ZPWBCMIHSS01C	","BCMI_PRD_APP"
"ZPWBCMIHSS01C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZPWBCMIHSS01C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZPWBCMIHSS01C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZPWBCMIWSR01C	","NotAdministrator"
"ZPWBCMIWSR01C	","Domain Admins"
"ZPWBCMIWSR01C	","SRVALL_PROD_LOCALADMIN"
"ZPWBCMIWSR01C	","SRVWEB_PROD_LOCALADMIN"
"ZPWBCMIWSR01C	","BCMI_PRD_APP"
"ZPWBCMIWSR01C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZPWBCMIWSR01C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZPWBCMIWSR01C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMIHSS01C	","NotAdministrator"
"ZSWBCMIHSS01C	","Domain Admins"
"ZSWBCMIHSS01C	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMIHSS01C	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMIHSS01C	","BCMI_PRD_APP"
"ZSWBCMIHSS01C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMIHSS01C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMIHSS01C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMICES01C	","NotAdministrator"
"ZSWBCMICES01C	","Domain Admins"
"ZSWBCMICES01C	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMICES01C	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMICES01C	","BCMI_PRD_APP"
"ZSWBCMICES01C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMICES01C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMICES01C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMICES04C	","NotAdministrator"
"ZSWBCMICES04C	","Domain Admins"
"ZSWBCMICES04C	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMICES04C	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMICES04C	","BCMI_PRD_APP"
"ZSWBCMICES04C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMICES04C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMICES04C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMIUTL01C	","NotAdministrator"
"ZSWBCMIUTL01C	","Domain Admins"
"ZSWBCMIUTL01C	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMIUTL01C	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMIUTL01C	","BCMI_PRD_APP"
"ZSWBCMIUTL01C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMIUTL01C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMIUTL01C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMIWEB01C00	","NotAdministrator"
"ZSWBCMIWEB01C00	","Domain Admins"
"ZSWBCMIWEB01C00	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMIWEB01C00	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMIWEB01C00	","BCMI_PRD_APP"
"ZSWBCMIWEB01C00	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMIWEB01C00	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMIWEB01C00	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMIWEB01C01	","NotAdministrator"
"ZSWBCMIWEB01C01	","Domain Admins"
"ZSWBCMIWEB01C01	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMIWEB01C01	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMIWEB01C01	","BCMI_PRD_APP"
"ZSWBCMIWEB01C01	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMIWEB01C01	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMIWEB01C01	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
"ZSWBCMIWSR01C	","NotAdministrator"
"ZSWBCMIWSR01C	","Domain Admins"
"ZSWBCMIWSR01C	","SRVALL_PROD_LOCALADMIN"
"ZSWBCMIWSR01C	","SRVWEB_PROD_LOCALADMIN"
"ZSWBCMIWSR01C	","BCMI_PRD_APP"
"ZSWBCMIWSR01C	","SRVWEB_BCMI_PROD_LOCALADMIN"
"ZSWBCMIWSR01C	","SRVWEB_HRZN_PROD_LOCALADMIN"
"ZSWBCMIWSR01C	","SRVWEB_ZPWBCMIWEB01C02_LOCALADMIN"
